basename	condition	replicate	batch_effect	control	antibody
BE2C-Rep-1-Input_S1	BE2C_input	1		NA	input
BE2C-Rep-1-Reverted_S4	BE2C_reverted	1		BE2C-Rep-1-Input_S1	H3K27ac
BE2C-Rep-1-Treated_S3	BE2C_treated	1		BE2C-Rep-1-Input_S1	H3K27ac
BE2C-Rep-1-Untreated_S2	BE2C_untreated	1		BE2C-Rep-1-Input_S1	H3K27ac
BE2C-Rep-2-Input_S5	BE2C_input	2		NA	input
BE2C-Rep-2-Reverted_S8	BE2C_reverted	2		BE2C-Rep-2-Input_S5	H3K27ac
BE2C-Rep-2-Treated_S7	BE2C_treated	2		BE2C-Rep-2-Input_S5	H3K27ac
BE2C-Rep-2-Untreated_S6	BE2C_untreated	2		BE2C-Rep-2-Input_S5	H3K27ac
IMR32-Rep-1-Input_S9	IMR32_input	1		NA	input
IMR32-Rep-1-Reverted_S12	IMR32_reverted	1		IMR32-Rep-1-Input_S9	H3K27ac
IMR32-Rep-1-Treated_S11	IMR32_treated	1		IMR32-Rep-1-Input_S9	H3K27ac
IMR32-Rep-1-Untreated_S10	IMR32_untreated	1		IMR32-Rep-1-Input_S9	H3K27ac
IMR32-Rep-2-Input_S13	IMR32_input	2		NA	input
IMR32-Rep-2-Reverted_S16	IMR32_reverted	2		IMR32-Rep-2-Input_S13	H3K27ac
IMR32-Rep-2-Treated_S15	IMR32_treated	2		IMR32-Rep-2-Input_S13	H3K27ac
IMR32-Rep-2-Untreated_S14	IMR32_untreated	2		IMR32-Rep-2-Input_S13	H3K27ac
SHSY-Rep-1-Input_S17	SHSY_input	1		NA	input
SHSY-Rep-1-Reverted_S20	SHSY_reverted	1		SHSY-Rep-1-Input_S17	H3K27ac
SHSY-Rep-1-Treated_S19	SHSY_treated	1		SHSY-Rep-1-Input_S17	H3K27ac
SHSY-Rep-1-Untreated_S18	SHSY_untreated	1		SHSY-Rep-1-Input_S17	H3K27ac
SHSY-Rep-2-Input_S21	SHSY_input	2		NA	input
SHSY-Rep-2-Reverted_S24	SHSY_reverted	2		SHSY-Rep-2-Input_S21	H3K27ac
SHSY-Rep-2-Treated_S23	SHSY_treated	2		SHSY-Rep-2-Input_S21	H3K27ac
SHSY-Rep-2-Untreated_S22	SHSY_untreated	2		SHSY-Rep-2-Input_S21	H3K27ac